frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1229.0,20.51752921535893,0.0009593935829033296,575:795,501:868,616:495:615:281:916:279:918:493,-0.7922007795522571,-0.5415798972650282:-0.4999305844786892:-0.08343745661529904
1230.0,20.534223706176963,0.0009593935829033296,565:783,486:851,616:495:614:282:916:279:918:493,-0.8600888922192474,-0.08343745661529904:-0.5832292100513672:-0.0001388310426210038
1231.0,20.550918196994992,0.0009593935829033296,556:773,474:835,616:495:614:282:916:279:917:493,-0.9234041870549677,-0.04178814382896002:-0.45828127169235017:0.04151048174371801
1232.0,20.56761268781302,0.0009593935829033296,550:764,465:822,616:495:615:282:916:279:917:493,-0.972012469828914,-0.08343745661529904:-0.5415798972650282:0.04151048174371801
1233.0,20.584307178631054,0.0009593935829033296,545:756,457:811,616:495:615:282:916:279:918:493,-1.0121970114513341,-0.20838539497431607:-0.7081771484103843:0.12480910731639605
1234.0,20.601001669449083,0.0009593935829033296,541:751,452:803,616:495:614:282:916:279:918:493,-1.0420235544597045,-0.08343745661529904:-0.8331250867694013:-0.0001388310426210038
1235.0,20.617696160267112,0.0009593935829033296,539:747,448:797,616:495:614:282:916:279:918:493,-1.068375056770266,-0.08343745661529904:-0.8331250867694013:-0.0001388310426210038
1236.0,20.63439065108514,0.0009593935829033296,538:745,446:795,616:495:614:282:916:279:918:493,-1.0729739941778955,-0.08343745661529904:-0.8331250867694013:-0.0001388310426210038
1237.0,20.651085141903174,0.0009593935829033296,538:745,446:795,616:495:614:282:916:279:918:493,-1.0729739941778955,-0.04178814382896002:-0.9997223379147574:-0.04178814382896002
1238.0,20.667779632721203,0.0009593935829033296,539:747,448:799,616:496:615:282:916:279:918:493,-1.0516502125483738,-0.04178814382896002:-1.2496182146327914:-0.04178814382896002
1239.0,20.684474123539232,0.0009593935829033296,541:751,451:805,616:495:614:282:916:279:918:493,-1.0303768265243125,-0.04178814382896002:-1.3329168402054696:-0.04178814382896002
1240.0,20.70116861435726,0.0009593935829033296,545:757,456:813,616:495:614:282:916:279:918:493,-1.0091728271223992,-0.04178814382896002:-1.4995140913508256:-0.04178814382896002
