frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
993.0,16.57762938230384,0.0009513564949536395,1074:446,1185:456,762:449:762:234:920:234:920:449,1.480948787100269,-0.20833333333333334:-0.20833333333333334:0.0
994.0,16.59432387312187,0.0009513564949536395,1106:423,1217:416,762:449:762:233:950:233:950:449,1.6337759892278412,-0.25:-0.20833333333333334:0.0
995.0,16.611018363939902,0.0009513564949536395,1138:401,1249:374,762:450:762:233:983:233:983:450,1.8094056493030977,-0.25:-0.20833333333333334:0.0
996.0,16.62771285475793,0.0009513564949536395,1168:381,1279:343,762:450:762:232:1015:232:1015:450,1.900632958321112,-0.2916666666666667:-0.25:0.0
997.0,16.64440734557596,0.0009513564949536395,1198:362,1308:317,762:449:762:233:1064:233:1064:449,1.9591150449673627,0.16666666666666666:-0.5833333333333334:-0.4166666666666667
998.0,16.66110183639399,0.0009513564949536395,1228:345,1337:297,762:449:762:233:1069:233:1069:449,1.9856106099159567,0.16666666666666666:-0.5833333333333334:-0.4166666666666667
999.0,16.67779632721202,0.0009513564949536395,1256:330,1365:282,762:449:762:232:1071:232:1071:449,1.9856106099159567,-0.4166666666666667:-0.8333333333333334:0.0
1000.0,16.69449081803005,0.0009513564949536395,1283:317,1394:273,761:449:761:232:1071:232:1071:449,1.9481922940313214,-0.5833333333333334:-1.2083333333333333:0.0
1001.0,16.71118530884808,0.0009513564949536395,1309:306,1422:268,762:449:762:231:1072:231:1072:449,1.8951993948645431,-0.625:-1.8333333333333333:0.0
1002.0,16.72787979966611,0.0009513564949536395,1334:296,1449:270,762:449:762:232:1073:232:1073:449,1.793145108864844,-0.6666666666666666:-3.2916666666666665:-0.25
1003.0,16.74457429048414,0.0009513564949536395,1356:288,1473:276,762:449:762:232:1072:232:1072:449,1.6730030449021502,-0.5416666666666666:-4.875:-0.5
1004.0,16.76126878130217,0.0009513564949536395,1377:282,1492:286,761:449:761:233:1071:233:1071:449,1.5360277349388143,-0.5416666666666666:-4.875:-0.5
1005.0,16.7779632721202,0.0009513564949536395,1393:278,1504:303,762:449:762:233:1072:233:1072:449,1.3492675221781487,0.041666666666666664:-4.291666666666667:-0.4166666666666667
1006.0,16.794657762938233,0.0009513564949536395,1402:274,1506:322,761:449:761:232:1071:232:1071:449,1.1383885512243588,0.3333333333333333:-1.4166666666666667:-0.125
1007.0,16.81135225375626,0.0009513564949536395,1404:271,1495:339,762:449:762:233:1072:233:1072:449,0.929055779562893,0.5:-1.125:-0.125
1008.0,16.82804674457429,0.0009513564949536395,1400:269,1475:352,762:449:762:233:1072:233:1072:449,0.7348084546280637,0.375:-1.0416666666666667:0.125
1009.0,16.84474123539232,0.0009513564949536395,1390:266,1451:363,762:449:762:232:1071:232:1071:449,0.5613745163595248,0.375:-1.0416666666666667:0.125
