frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
576.0,9.61602671118531,0.0009531577766057525,1205:549,1320:469,717:456:714:240:1019:236:1021:453,2.178598322908857,-1.0:0.0:-0.041666666666666664
577.0,9.632721202003339,0.0009531577766057525,1204:554,1325:471,717:457:714:240:1018:236:1021:453,2.1720306722660525,-1.0:0.0:-0.041666666666666664
578.0,9.64941569282137,0.0009531577766057525,1204:561,1315:562,717:456:714:240:1019:236:1021:453,1.5617875615044796,-1.0:0.041666666666666664:-0.041666666666666664
579.0,9.666110183639399,0.0009531577766057525,1203:571,1314:575,717:457:714:240:1018:236:1021:453,1.5347758773657074,-1.0:0.041666666666666664:-0.041666666666666664
580.0,9.68280467445743,0.0009531577766057525,1202:584,1313:590,716:457:714:240:1018:236:1021:453,1.5167948264189284,-1.0:0.041666666666666664:-0.041666666666666664
581.0,9.699499165275459,0.0009531577766057525,1200:599,1311:611,716:457:714:240:1018:236:1021:453,1.463106455962076,-1.0:0.0:-0.041666666666666664
582.0,9.71619365609349,0.0009531577766057525,1196:616,1306:634,715:454:715:237:1019:237:1019:454,1.4085974933315142,-1.0:0.0:-0.041666666666666664
583.0,9.73288814691152,0.0009531577766057525,1191:636,1299:662,716:457:714:240:1018:236:1021:453,1.334551066076459,-1.0:0.041666666666666664:-0.041666666666666664
584.0,9.74958263772955,0.0009531577766057525,1184:658,1289:693,717:456:714:240:1018:236:1020:453,1.2490457723982544,-1.0:0.041666666666666664:0.041666666666666664
585.0,9.76627712854758,0.0009531577766057525,1174:682,1276:725,716:456:715:240:1019:237:1021:453,1.1718356690618725,-0.9583333333333334:0.041666666666666664:-0.08333333333333333
586.0,9.78297161936561,0.0009531577766057525,1160:706,1258:758,717:456:714:240:1019:237:1021:453,1.0829598881352542,-0.9583333333333334:0.041666666666666664:-0.08333333333333333
587.0,9.79966611018364,0.0009531577766057525,1143:732,1235:793,717:456:715:240:1019:237:1021:453,0.9853062807741733,-0.9583333333333334:0.041666666666666664:-0.08333333333333333
588.0,9.81636060100167,0.0009531577766057525,1122:757,1206:827,716:454:716:238:1020:238:1020:454,0.8760580505981934,-1.0:0.0:-0.041666666666666664
589.0,9.8330550918197,0.0009531577766057525,1097:780,1172:859,717:456:714:240:1019:237:1021:453,0.7594299761858919,-0.9583333333333334:0.0:0.0
590.0,9.84974958263773,0.0009531577766057525,1069:802,1132:889,717:456:715:240:1019:237:1021:453,0.6267429012110469,-0.9166666666666666:0.041666666666666664:0.08333333333333333
591.0,9.86644407345576,0.0009531577766057525,1039:818,1088:914,717:456:715:240:1019:237:1021:453,0.47194617368547553,-0.9583333333333334:0.041666666666666664:-0.20833333333333334
592.0,9.88313856427379,0.0009531577766057525,1002:834,1038:935,717:456:715:240:1019:237:1021:453,0.3423965879308605,-0.375:0.08333333333333333:-0.125
593.0,9.89983305509182,0.0009531577766057525,962:845,986:948,717:456:715:240:1019:237:1021:453,0.22892499651560902,-0.16666666666666666:0.0:-0.041666666666666664
594.0,9.91652754590985,0.0009531577766057525,921:850,930:956,717:456:715:240:1019:237:1021:453,0.08470251086965776,-0.16666666666666666:0.0:-0.041666666666666664
595.0,9.93322203672788,0.0009531577766057525,879:850,874:956,717:456:715:240:1019:237:1021:453,-0.0471348738135006,0.0:-0.041666666666666664:0.0
