frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1493.0,24.924874791318864,0.0009580615166944796,359:700,380:598,824:434:519:415:533:197:838:216,-0.20304521725346514,-0.024699244117959946:0.8057063770893217:0.03917811135952325
1494.0,24.941569282136896,0.0009580615166944796,350:700,374:600,824:434:519:415:533:196:838:216,-0.23554498072086333,0.03917811135952325:0.8057063770893217:-0.024699244117959946
1495.0,24.958263772954925,0.0009580615166944796,339:701,371:603,824:434:519:415:533:197:838:216,-0.3156156620387663,0.13499414457574804:0.8376450548280633:-0.08857659959544315
1496.0,24.974958263772955,0.0009580615166944796,330:701,370:607,824:434:519:414:533:196:838:216,-0.4023210978604407,0.16693282231448964:0.8376450548280633:-0.08857659959544315
1497.0,24.991652754590987,0.0009580615166944796,321:703,370:612,824:434:519:414:533:196:838:216,-0.49394136891958124,0.23081017779197285:0.8376450548280633:-0.18439263281166796
1498.0,25.008347245409016,0.0009580615166944796,316:705,370:616,824:433:520:414:533:197:838:216,-0.5453617994034334,0.2627488555307144:0.8376450548280633:-0.28020866602789274
1499.0,25.025041736227045,0.0009580615166944796,313:707,370:620,824:434:519:415:533:197:838:216,-0.5800027742076809,0.2627488555307144:0.8376450548280633:-0.28020866602789274
1500.0,25.041736227045075,0.0009580615166944796,313:712,370:624,824:433:519:413:533:196:838:216,-0.5747758616989802,0.13499414457574804:0.8376450548280633:-0.28020866602789274
1501.0,25.058430717863107,0.0009580615166944796,316:716,371:629,824:434:519:414:533:196:839:216,-0.5637486004187707,0.07111678909826485:0.8057063770893217:-0.28020866602789274
1502.0,25.075125208681136,0.0009580615166944796,320:722,374:633,824:433:519:413:533:196:839:216,-0.5453617994034334,0.07111678909826485:0.8057063770893217:-0.28020866602789274
1503.0,25.091819699499165,0.0009580615166944796,327:729,379:638,824:433:519:414:533:197:838:216,-0.5191461142465229,-0.024699244117959946:0.77376769935058:-0.21633131055040955
1504.0,25.108514190317194,0.0009580615166944796,335:737,383:642,824:434:519:414:533:196:838:216,-0.467849264947678,-0.08857659959544315:0.7098903438730968:-0.15245395507292633
1505.0,25.125208681135227,0.0009580615166944796,346:745,390:648,824:434:519:414:533:196:839:216,-0.4258504925062415,-0.08857659959544315:0.6779516661343552:-0.08857659959544315
1506.0,25.141903171953256,0.0009580615166944796,356:752,399:655,824:434:519:415:533:197:838:216,-0.41726739207228475,-0.056637921856701544:0.6779516661343552:-0.056637921856701544
1507.0,25.158597662771285,0.0009580615166944796,367:759,409:663,824:434:519:415:533:197:838:216,-0.4124104415973873,-0.056637921856701544:0.6779516661343552:-0.056637921856701544
1508.0,25.175292153589314,0.0009580615166944796,377:766,421:671,824:434:519:414:533:196:838:216,-0.433741997594043,-0.024699244117959946:0.7098903438730968:-0.024699244117959946
1509.0,25.191986644407347,0.0009580615166944796,387:774,435:680,824:434:519:415:533:197:838:216,-0.47212198240377673,0.03917811135952325:0.7418290216118384:-0.056637921856701544
1510.0,25.208681135225376,0.0009580615166944796,397:782,450:689,824:434:519:415:533:197:838:216,-0.5179873662135748,0.07111678909826485:0.77376769935058:-0.056637921856701544
1511.0,25.225375626043405,0.0009580615166944796,409:790,466:699,824:434:519:415:533:197:838:216,-0.559586481854093,0.07111678909826485:0.77376769935058:-0.056637921856701544
1512.0,25.242070116861438,0.0009580615166944796,423:797,483:709,824:434:519:415:533:197:838:216,-0.5984188934785372,0.16693282231448964:0.8376450548280633:-0.12051527733418474
1513.0,25.258764607679467,0.0009580615166944796,439:805,500:719,824:434:519:415:533:197:838:216,-0.6169418905475355,0.2627488555307144:0.8695837325668049:-0.18439263281166796
1514.0,25.275459098497496,0.0009580615166944796,457:815,518:728,824:434:519:415:533:197:838:216,-0.6114969742595617,0.2627488555307144:0.8695837325668049:-0.18439263281166796
1515.0,25.292153589315525,0.0009580615166944796,477:825,535:735,824:434:519:415:533:197:838:216,-0.5724598138180511,0.19887150005323126:0.8695837325668049:-0.21633131055040955
1516.0,25.308848080133558,0.0009580615166944796,498:834,551:742,824:434:519:415:533:197:838:216,-0.5226507727948388,0.10305546683700645:0.8695837325668049:-0.18439263281166796
1517.0,25.325542570951587,0.0009580615166944796,521:845,567:750,824:434:519:415:533:197:838:216,-0.4509364292373799,0.0072394336207816535:0.8376450548280633:-0.12051527733418474
