frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
1420.0,23.706176961602672,0.0009261906849864234,1143:754,1224:829,716:472:716:258:1017:258:1017:472,0.8238407534186363,-0.75:-0.625:-0.08333333333333333
1421.0,23.7228714524207,0.0009261906849864234,1143:753,1224:827,716:472:716:258:1017:258:1017:472,0.8305287884521974,-0.75:-0.625:-0.08333333333333333
1422.0,23.73956594323873,0.0009261906849864234,1142:753,1224:829,716:472:716:257:1017:257:1017:472,0.8233546085857627,-0.75:-0.625:-0.08333333333333333
1423.0,23.756260434056763,0.0009261906849864234,1142:754,1223:830,716:472:716:257:1017:257:1017:472,0.8172345368245629,-0.75:-0.625:-0.08333333333333333
1424.0,23.772954924874792,0.0009261906849864234,1141:756,1221:832,716:473:715:258:1016:256:1018:471,0.8110335719191258,-0.7916666666666666:-0.625:-0.08333333333333333
1425.0,23.78964941569282,0.0009261906849864234,1138:759,1218:836,716:472:716:257:1017:257:1017:472,0.8045041185158891,-0.7916666666666666:-0.625:-0.08333333333333333
1426.0,23.80634390651085,0.0009261906849864234,1134:764,1213:843,716:473:715:258:1016:256:1018:471,0.7853981633974483,-0.7916666666666666:-0.625:-0.08333333333333333
1427.0,23.823038397328883,0.0009261906849864234,1128:771,1205:851,716:473:715:258:1016:256:1018:471,0.7662922082790075,-0.7916666666666666:-0.625:-0.08333333333333333
1428.0,23.839732888146912,0.0009261906849864234,1120:778,1197:859,716:473:715:258:1016:256:1018:471,0.7600871142546,-0.5416666666666666:-0.6666666666666666:0.0
1429.0,23.85642737896494,0.0009261906849864234,1111:787,1184:872,716:473:715:258:1016:256:1018:471,0.709594326036309,-0.16666666666666666:-0.625:0.08333333333333333
1430.0,23.873121869782974,0.0009261906849864234,1101:797,1280:769,716:473:715:258:1016:256:1018:471,1.7259634845317755,-0.16666666666666666:-0.625:0.08333333333333333
1431.0,23.889816360601003,0.0009261906849864234,1088:809,1286:772,716:473:715:258:1016:256:1018:471,1.7555343348107255,-0.08333333333333333:-0.625:0.041666666666666664
1432.0,23.906510851419032,0.0009261906849864234,1071:820,1129:912,716:473:715:258:1016:256:1018:471,0.5624979310690725,-0.08333333333333333:-0.75:0.0
1433.0,23.92320534223706,0.0009261906849864234,1054:832,1109:926,716:473:715:258:1016:256:1018:471,0.5293963247218622,-0.08333333333333333:-0.75:0.0
1434.0,23.939899833055094,0.0009261906849864234,1035:842,1083:938,715:471:715:257:1017:257:1017:471,0.4636476090008061,-0.08333333333333333:-0.9166666666666666:0.0
1435.0,23.956594323873123,0.0009261906849864234,1016:851,1057:950,716:472:716:258:1018:258:1018:472,0.39263749776012685,-0.08333333333333333:-0.9166666666666666:0.0
1436.0,23.973288814691152,0.0009261906849864234,994:858,1029:962,716:472:716:258:1018:258:1018:472,0.32463239079915357,-0.041666666666666664:-1.0:0.0
1437.0,23.98998330550918,0.0009261906849864234,971:864,996:971,716:472:716:258:1018:258:1018:472,0.2295273542432904,-0.041666666666666664:-1.0833333333333333:-0.041666666666666664
1438.0,24.006677796327214,0.0009261906849864234,946:869,964:977,716:473:715:259:1016:257:1018:471,0.16514867741462683,-0.041666666666666664:-1.2916666666666667:-0.041666666666666664
1439.0,24.023372287145243,0.0009261906849864234,921:872,930:981,716:473:715:259:1016:257:1018:471,0.08238193059169066,-0.041666666666666664:-1.2916666666666667:-0.041666666666666664
1440.0,24.040066777963272,0.0009261906849864234,896:872,897:981,716:473:715:259:1016:257:1018:471,0.009174054545109998,-0.041666666666666664:-1.375:-0.041666666666666664
1441.0,24.0567612687813,0.0009261906849864234,871:871,861:979,716:473:715:259:1016:257:1018:471,-0.09232933473159899,0.3333333333333333:-1.4166666666666667:-0.25
1442.0,24.073455759599334,0.0009261906849864234,847:867,827:974,716:473:715:259:1016:257:1018:471,-0.18478361596982434,-0.041666666666666664:-1.5416666666666667:-0.041666666666666664
1443.0,24.090150250417363,0.0009261906849864234,823:863,794:966,716:473:715:259:1016:257:1018:471,-0.27444858690083795,-0.041666666666666664:-1.7083333333333333:-0.041666666666666664
1444.0,24.106844741235392,0.0009261906849864234,800:856,765:956,716:473:715:259:1016:257:1018:471,-0.33667481938672716,-0.041666666666666664:-1.7083333333333333:-0.041666666666666664
1445.0,24.123539232053425,0.0009261906849864234,779:847,736:945,716:473:715:258:1016:256:1018:471,-0.4134805321466672,-0.041666666666666664:-1.8333333333333333:-0.041666666666666664
1446.0,24.140233722871454,0.0009261906849864234,760:838,712:933,716:473:715:258:1016:256:1018:471,-0.467849264947678,-0.041666666666666664:-1.6666666666666667:-0.041666666666666664
1447.0,24.156928213689483,0.0009261906849864234,742:828,689:920,716:473:715:258:1016:256:1018:471,-0.5226507727948388,0.0:-1.6666666666666667:-0.041666666666666664
1448.0,24.173622704507512,0.0009261906849864234,727:818,668:907,716:473:715:258:1016:256:1018:471,-0.5854052067912671,0.0:-1.6666666666666667:-0.041666666666666664
1449.0,24.190317195325544,0.0009261906849864234,714:808,650:894,716:473:715:258:1016:256:1018:471,-0.6397697828266257,-0.08333333333333333:-1.6666666666666667:0.0
1450.0,24.207011686143574,0.0009261906849864234,703:800,635:881,716:473:715:258:1016:256:1018:471,-0.6983702214860033,-0.08333333333333333:-1.625:0.0
1451.0,24.223706176961603,0.0009261906849864234,693:791,622:870,716:473:715:259:1016:257:1018:471,-0.7321153118377559,-0.041666666666666664:-1.5:0.0
1452.0,24.24040066777963,0.0009261906849864234,685:784,610:858,716:472:716:258:1018:258:1018:472,-0.7921094720287709,-0.041666666666666664:-1.3333333333333333:0.0
1453.0,24.257095158597664,0.0009261906849864234,679:778,602:850,716:473:715:258:1016:256:1018:471,-0.8189426229591267,-0.041666666666666664:-1.3333333333333333:0.0
1454.0,24.273789649415694,0.0009261906849864234,675:772,596:843,716:472:716:258:1018:258:1018:472,-0.8386810149571406,0.0:-1.2083333333333333:0.0
1455.0,24.290484140233723,0.0009261906849864234,673:769,591:838,716:473:715:259:1016:257:1018:471,-0.871279114458433,0.0:-1.125:0.0
1456.0,24.307178631051755,0.0009261906849864234,671:767,589:834,715:471:715:257:1017:257:1017:471,-0.8857312676180685,0.041666666666666664:-1.0:0.0
1457.0,24.323873121869784,0.0009261906849864234,671:767,588:834,716:473:715:259:1016:257:1018:471,-0.8916630262885271,0.041666666666666664:-0.875:0.0
1458.0,24.340567612687813,0.0009261906849864234,671:768,590:836,716:473:715:259:1016:257:1018:471,-0.8724261053088934,0.041666666666666664:-0.875:0.0
1459.0,24.357262103505843,0.0009261906849864234,674:771,593:840,716:472:716:258:1017:258:1017:472,-0.8652281491096856,0.041666666666666664:-0.7916666666666666:0.0
1460.0,24.373956594323875,0.0009261906849864234,678:775,598:846,716:472:716:258:1018:258:1018:472,-0.8449303834726967,0.0:-0.6666666666666666:0.041666666666666664
1461.0,24.390651085141904,0.0009261906849864234,683:781,604:852,716:473:715:259:1016:257:1018:471,-0.8386810149571406,0.041666666666666664:-0.625:0.0
1462.0,24.407345575959933,0.0009261906849864234,689:788,615:862,716:473:715:259:1016:257:1018:471,-0.7853981633974483,0.041666666666666664:-0.625:0.0
1463.0,24.424040066777962,0.0009261906849864234,698:796,627:874,716:473:715:258:1016:256:1018:471,-0.7384528151360407,0.041666666666666664:-0.625:0.0
1464.0,24.440734557595995,0.0009261906849864234,708:804,640:886,716:473:715:258:1016:256:1018:471,-0.6923344346730304,0.041666666666666664:-0.625:0.0
1465.0,24.457429048414024,0.0009261906849864234,719:813,657:898,716:473:715:258:1016:256:1018:471,-0.6301939095445498,0.08333333333333333:-0.6666666666666666:0.0
1466.0,24.474123539232053,0.0009261906849864234,733:823,675:911,716:473:715:258:1016:256:1018:471,-0.5827394942499722,0.08333333333333333:-0.6666666666666666:0.0
1467.0,24.490818030050082,0.0009261906849864234,749:833,696:924,716:473:715:258:1016:256:1018:471,-0.5273909215334932,-0.041666666666666664:-0.75:0.08333333333333333
1468.0,24.507512520868115,0.0009261906849864234,766:842,720:937,716:473:715:258:1016:256:1018:471,-0.4509364292373799,-0.041666666666666664:-0.75:0.08333333333333333
1469.0,24.524207011686144,0.0009261906849864234,786:851,745:947,716:473:715:259:1016:257:1018:471,-0.4036339253132656,0.0:-0.875:0.0
1470.0,24.540901502504173,0.0009261906849864234,808:858,774:959,716:472:716:258:1017:258:1017:472,-0.32471790473771717,0.041666666666666664:-0.9583333333333334:0.0
1471.0,24.557595993322206,0.0009261906849864234,830:864,803:968,716:473:715:259:1016:257:1018:471,-0.2540077631265936,0.041666666666666664:-1.0833333333333333:0.0
1472.0,24.574290484140235,0.0009261906849864234,853:868,834:974,716:473:715:259:1016:257:1018:471,-0.1773618105968949,0.041666666666666664:-1.0833333333333333:0.0
1473.0,24.590984974958264,0.0009261906849864234,877:871,866:979,716:472:716:258:1017:258:1017:472,-0.10150183100595321,0.041666666666666664:-1.0833333333333333:0.0
1474.0,24.607679465776293,0.0009261906849864234,901:872,898:981,716:472:716:257:1017:257:1017:472,-0.027515989285454418,0.041666666666666664:-1.375:-0.041666666666666664
1475.0,24.624373956594326,0.0009261906849864234,925:871,930:980,716:472:716:257:1017:257:1017:472,0.04583942588111677,0.041666666666666664:-1.375:-0.041666666666666664
1476.0,24.641068447412355,0.0009261906849864234,948:869,963:976,716:472:716:257:1017:257:1017:472,0.13927925953684642,0.041666666666666664:-1.5:-0.041666666666666664
1477.0,24.657762938230384,0.0009261906849864234,970:865,994:971,716:473:715:258:1016:256:1018:471,0.22266094063636496,0.041666666666666664:-1.5833333333333333:-0.041666666666666664
1478.0,24.674457429048413,0.0009261906849864234,990:860,1023:963,716:472:716:257:1017:257:1017:472,0.31005518123095327,0.041666666666666664:-1.5833333333333333:-0.041666666666666664
1479.0,24.691151919866446,0.0009261906849864234,1011:853,1051:954,716:473:715:258:1016:256:1018:471,0.37708758701337325,0.041666666666666664:-1.5833333333333333:-0.041666666666666664
1480.0,24.707846410684475,0.0009261906849864234,1030:844,1077:942,716:472:716:257:1017:257:1017:472,0.44718819016602646,0.041666666666666664:-1.625:-0.041666666666666664
1481.0,24.724540901502504,0.0009261906849864234,1048:834,1101:930,716:473:715:258:1016:256:1018:471,0.5044412918686715,0.0:-1.625:-0.041666666666666664
1482.0,24.741235392320533,0.0009261906849864234,1065:825,1122:918,715:471:715:256:1016:256:1016:471,0.549853182676585,0.0:-1.625:-0.041666666666666664
1483.0,24.757929883138566,0.0009261906849864234,1080:813,1141:905,716:472:716:257:1017:257:1017:472,0.5854900460207233,-0.041666666666666664:-1.5416666666666667:-0.041666666666666664
1484.0,24.774624373956595,0.0009261906849864234,1093:804,1157:893,716:472:716:258:1017:258:1017:472,0.6234308114114129,-0.041666666666666664:-1.5416666666666667:-0.041666666666666664
1485.0,24.791318864774624,0.0009261906849864234,1103:796,1170:879,716:472:716:257:1017:257:1017:472,0.6791333005063696,-0.041666666666666664:-1.5:0.0
1486.0,24.808013355592657,0.0009261906849864234,1111:789,1183:872,716:472:716:257:1017:257:1017:472,0.7145492038528386,-0.041666666666666664:-1.375:0.0
1487.0,24.824707846410686,0.0009261906849864234,1118:783,1192:864,716:472:716:257:1017:257:1017:472,0.7402675383426992,-0.041666666666666664:-1.2916666666666667:0.0
1488.0,24.841402337228715,0.0009261906849864234,1121:778,1198:858,716:472:716:258:1017:258:1017:472,0.7662922082790075,0.0:-1.1666666666666667:-0.041666666666666664
1489.0,24.858096828046744,0.0009261906849864234,1125:774,1202:854,716:472:716:258:1017:258:1017:472,0.7662922082790075,0.0:-1.1666666666666667:-0.041666666666666664
1490.0,24.874791318864776,0.0009261906849864234,1127:773,1205:852,716:472:716:258:1017:258:1017:472,0.7790288227787852,0.0:-1.0833333333333333:-0.041666666666666664
1491.0,24.891485809682806,0.0009261906849864234,1127:773,1205:851,716:472:716:258:1017:258:1017:472,0.7853981633974483,0.0:-0.9583333333333334:0.0
1492.0,24.908180300500835,0.0009261906849864234,1126:774,1204:853,716:472:716:258:1017:258:1017:472,0.7790288227787852,0.0:-0.875:0.0
1493.0,24.924874791318864,0.0009261906849864234,1123:777,1200:856,716:472:716:258:1017:258:1017:472,0.7725783529245477,0.0:-0.7916666666666666:0.0
1494.0,24.941569282136896,0.0009261906849864234,1119:781,1195:861,716:473:715:259:1016:257:1018:471,0.7597627548757708,0.0:-0.7916666666666666:0.0
1495.0,24.958263772954925,0.0009261906849864234,1113:787,1187:868,716:473:715:259:1016:257:1018:471,0.7402675383426992,0.0:-0.7916666666666666:0.0
1496.0,24.974958263772955,0.0009261906849864234,1106:794,1177:874,716:473:715:259:1016:257:1018:471,0.7258659433222,0.0:-0.7083333333333334:0.0
1497.0,24.991652754590987,0.0009261906849864234,1097:802,1164:885,716:472:716:258:1017:258:1017:472,0.6791333005063696,0.0:-0.7083333333333334:0.0
1498.0,25.008347245409016,0.0009261906849864234,1086:811,1148:898,716:472:716:258:1017:258:1017:472,0.6191613471304624,0.0:-0.7083333333333334:0.0
1499.0,25.025041736227045,0.0009261906849864234,1072:820,1132:911,716:472:716:258:1017:258:1017:472,0.5829135889557342,0.0:-0.7083333333333334:0.0
1500.0,25.041736227045075,0.0009261906849864234,1057:830,1113:923,716:472:716:258:1018:258:1018:472,0.5419992777873311,0.0:-0.75:0.0
1501.0,25.058430717863107,0.0009261906849864234,1040:839,1092:932,715:471:715:257:1017:257:1017:471,0.5098332286596837,0.0:-0.7916666666666666:0.0
1502.0,25.075125208681136,0.0009261906849864234,1022:848,1067:944,716:473:715:258:1016:256:1018:471,0.43833655985795783,-0.041666666666666664:-0.9166666666666666:0.0
1503.0,25.091819699499165,0.0009261906849864234,1003:855,1043:956,716:473:715:258:1016:256:1018:471,0.37708758701337325,-0.08333333333333333:-1.0:0.041666666666666664
1504.0,25.108514190317194,0.0009261906849864234,984:861,1016:964,716:472:716:257:1017:257:1017:472,0.30122557786238596,-0.08333333333333333:-1.0:0.041666666666666664
1505.0,25.125208681135227,0.0009261906849864234,963:866,986:972,716:472:716:257:1017:257:1017:472,0.21366898753998365,-0.125:-1.125:0.0
1506.0,25.141903171953256,0.0009261906849864234,940:870,956:977,716:473:715:258:1016:256:1018:471,0.14843290925009506,-0.041666666666666664:-1.2083333333333333:0.0
1507.0,25.158597662771285,0.0009261906849864234,917:872,923:980,716:473:715:258:1016:256:1018:471,0.05549850524571683,0.0:-1.2916666666666667:-0.041666666666666664
1508.0,25.175292153589314,0.0009261906849864234,893:872,892:980,716:473:715:258:1016:256:1018:471,-0.009258994662123083,0.041666666666666664:-1.375:-0.08333333333333333
1509.0,25.191986644407347,0.0009261906849864234,870:870,860:978,716:473:715:258:1016:256:1018:471,-0.09232933473159899,0.041666666666666664:-1.375:-0.08333333333333333
1510.0,25.208681135225376,0.0009261906849864234,847:867,829:973,716:472:716:258:1017:258:1017:472,-0.1682067718570861,0.041666666666666664:-1.5:-0.08333333333333333
1511.0,25.225375626043405,0.0009261906849864234,823:862,799:967,716:473:715:259:1016:257:1018:471,-0.2247111684146427,0.0:-1.5833333333333333:-0.08333333333333333
1512.0,25.242070116861438,0.0009261906849864234,803:857,771:957,716:472:716:258:1017:258:1017:472,-0.3097029445424562,0.0:-1.625:-0.08333333333333333
1513.0,25.258764607679467,0.0009261906849864234,782:849,745:947,716:472:716:257:1017:257:1017:472,-0.36100530342246273,0.0:-1.625:-0.08333333333333333
1514.0,25.275459098497496,0.0009261906849864234,764:841,720:937,716:472:716:257:1017:257:1017:472,-0.4297622790966885,-0.041666666666666664:-1.6666666666666667:0.0
1515.0,25.292153589315525,0.0009261906849864234,748:832,699:926,716:472:716:257:1017:257:1017:472,-0.4805236438477275,-0.041666666666666664:-1.625:0.0
1516.0,25.308848080133558,0.0009261906849864234,734:823,680:914,716:472:716:257:1017:257:1017:472,-0.5355573019577959,-0.041666666666666664:-1.625:0.0
1517.0,25.325542570951587,0.0009261906849864234,722:815,663:903,716:472:716:257:1017:257:1017:472,-0.590620398614885,-0.125:-1.5:0.041666666666666664
