frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle,acceleration
449.0,7.495826377295493,0.0009571091706762501,1203:499,1314:480,717:432:715:214:1020:211:1022:430,1.7403245382528183,-0.625:0.8333333333333334:-0.041666666666666664
450.0,7.512520868113523,0.0009571091706762501,1205:533,1315:531,717:433:715:214:1020:211:1022:430,1.588976141867875,-0.625:0.8333333333333334:-0.041666666666666664
451.0,7.529215358931553,0.0009571091706762501,1202:569,1313:576,717:434:715:215:1020:211:1022:430,1.5078166643619522,-0.5833333333333334:0.8333333333333334:-0.041666666666666664
452.0,7.545909849749583,0.0009571091706762501,1195:606,1304:627,717:434:715:215:1020:211:1022:430,1.3804677871029896,-0.625:0.8333333333333334:-0.08333333333333333
453.0,7.562604340567613,0.0009571091706762501,1181:646,1285:684,717:433:715:215:1020:211:1022:430,1.2204821145594944,-0.625:0.8333333333333334:-0.08333333333333333
454.0,7.579298831385643,0.0009571091706762501,1161:685,1258:736,717:431:717:212:1021:212:1021:431,1.0867433871075525,-0.625:0.8333333333333334:-0.08333333333333333
455.0,7.595993322203673,0.0009571091706762501,1133:723,1222:787,717:434:715:215:1020:211:1022:430,0.9473655153834838,-0.5833333333333334:0.8333333333333334:-0.08333333333333333
456.0,7.612687813021703,0.0009571091706762501,1098:757,1177:831,717:431:717:212:1021:212:1021:431,0.818066275799364,-0.5833333333333334:0.8333333333333334:-0.08333333333333333
457.0,7.6293823038397335,0.0009571091706762501,1058:786,1121:873,717:431:717:212:1021:212:1021:431,0.6267429012110469,-0.5833333333333334:0.8333333333333334:-0.041666666666666664
458.0,7.6460767946577635,0.0009571091706762501,1014:807,1058:904,717:433:715:215:1019:211:1021:430,0.4258504925062415,-0.5416666666666666:0.7916666666666666:-0.08333333333333333
459.0,7.6627712854757934,0.0009571091706762501,963:821,991:924,717:433:715:215:1019:211:1021:430,0.26543035664892006,-0.4166666666666667:0.8333333333333334:-0.16666666666666666
460.0,7.679465776293823,0.0009571091706762501,909:828,918:933,717:433:715:215:1020:211:1022:430,0.08550529367820464,-0.2916666666666667:0.875:-0.08333333333333333
461.0,7.696160267111853,0.0009571091706762501,857:824,844:928,717:433:715:215:1020:211:1022:430,-0.12435499454676144,-0.16666666666666666:0.875:0.041666666666666664
462.0,7.712854757929883,0.0009571091706762501,805:812,775:912,717:433:715:215:1020:211:1022:430,-0.2914567944778671,-0.08333333333333333:0.625:0.041666666666666664
