frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle
53.0,0.8833333333333333,0.0009990791894916476,887:434,996:354,513:508:483:300:776:257:806:466,2.203942776090241
54.0,0.9,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
55.0,0.9166666666666666,0.0009990791894916476,887:434,996:354,513:508:483:300:776:257:806:466,2.203942776090241
56.0,0.9333333333333333,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
57.0,0.95,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
58.0,0.9666666666666667,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
59.0,0.9833333333333333,0.0009990791894916476,887:434,996:354,513:509:483:300:776:257:806:466,2.203942776090241
60.0,1.0,0.0009990791894916476,887:434,996:354,513:509:483:300:776:257:807:466,2.203942776090241
61.0,1.0166666666666666,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
62.0,1.0333333333333334,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
63.0,1.05,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
64.0,1.0666666666666667,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
65.0,1.0833333333333333,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
66.0,1.1,0.0009990791894916476,887:434,996:354,513:509:483:300:776:257:806:466,2.203942776090241
67.0,1.1166666666666667,0.0009990791894916476,887:434,996:354,513:508:483:299:776:257:806:466,2.203942776090241
68.0,1.1333333333333333,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
69.0,1.15,0.0009990791894916476,887:434,997:354,513:508:483:298:776:257:806:466,2.1995926132103296
70.0,1.1666666666666667,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
71.0,1.1833333333333333,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
72.0,1.2,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
73.0,1.2166666666666666,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
74.0,1.2333333333333334,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
75.0,1.25,0.0009990791894916476,887:434,997:354,513:508:483:300:776:257:806:466,2.1995926132103296
76.0,1.2666666666666666,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
77.0,1.2833333333333334,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
78.0,1.3,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
79.0,1.3166666666666667,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
80.0,1.3333333333333333,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
81.0,1.35,0.0009990791894916476,887:434,997:354,513:508:483:300:776:257:806:466,2.1995926132103296
82.0,1.3666666666666667,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
83.0,1.3833333333333333,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
84.0,1.4,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
85.0,1.4166666666666667,0.0009990791894916476,887:434,997:354,513:508:483:300:776:257:806:466,2.1995926132103296
86.0,1.4333333333333333,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
87.0,1.45,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
88.0,1.4666666666666666,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
89.0,1.4833333333333334,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
90.0,1.5,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
91.0,1.5166666666666666,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
92.0,1.5333333333333334,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
93.0,1.55,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
94.0,1.5666666666666667,0.0009990791894916476,887:434,997:355,513:508:483:299:776:257:806:466,2.19362091438188
95.0,1.5833333333333333,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
96.0,1.6,0.0009990791894916476,887:434,997:354,513:508:483:299:776:257:806:466,2.1995926132103296
97.0,1.6166666666666667,0.0009990791894916476,887:434,997:354,513:508:483:300:776:257:806:466,2.1995926132103296
98.0,1.6333333333333333,0.0009990791894916476,887:434,997:355,513:508:483:300:776:257:806:466,2.19362091438188
99.0,1.65,0.0009990791894916476,887:434,997:355,513:508:483:300:776:257:806:466,2.19362091438188
100.0,1.6666666666666667,0.0009990791894916476,887:434,998:354,513:508:483:300:776:257:806:466,2.1952938755842046
101.0,1.6833333333333333,0.0009976802131877456,889:436,1000:355,511:505:485:296:780:258:807:467,2.2011977482684038
102.0,1.7,0.0009976802131877456,887:436,998:356,513:509:483:302:776:259:807:466,2.1952938755842046
103.0,1.7166666666666666,0.0009976802131877456,887:435,997:356,514:509:483:302:776:259:806:466,2.19362091438188
104.0,1.7333333333333334,0.0009976802131877456,887:434,998:354,513:508:483:299:776:256:806:465,2.1952938755842046
105.0,1.75,0.0009976802131877456,887:434,998:354,513:507:483:299:776:257:806:465,2.1952938755842046
106.0,1.7666666666666666,0.0009976802131877456,888:435,998:356,514:510:483:302:776:259:807:467,2.19362091438188
107.0,1.7833333333333334,0.0009976802131877456,887:434,998:355,513:508:483:298:776:257:806:466,2.189339329792556
108.0,1.8,0.0009976802131877456,887:433,997:354,513:507:483:298:776:256:806:465,2.19362091438188
109.0,1.8166666666666667,0.0009976802131877456,887:434,997:355,513:509:483:299:776:257:806:467,2.19362091438188
