time,m_per_pixel,g_center,r_center,rect_points,angle
1.4666666666666666,0.0010003440694441492,887:434,997:355,513:508:483:299:776:257:806:466,125.68522024571024
1.4833333333333334,0.0010003440694441492,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
1.5,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:465,126.02737338510362
1.5166666666666666,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:465,126.02737338510362
1.5333333333333334,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.55,0.0010003440694441492,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
1.5666666666666667,0.0010003440694441492,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
1.5833333333333333,0.0010003440694441492,887:434,997:355,513:508:483:299:776:257:806:465,125.68522024571024
1.6,0.0010003440694441492,887:434,997:354,513:508:483:299:776:257:806:466,126.02737338510362
1.6166666666666667,0.0010003440694441492,887:434,997:354,513:508:483:300:776:257:806:465,126.02737338510362
1.6333333333333333,0.0010003440694441492,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
1.65,0.0010003440694441492,887:434,997:355,513:508:483:300:776:257:806:465,125.68522024571024
1.6666666666666667,0.0010003440694441492,887:434,998:355,513:508:483:300:776:257:806:465,125.4399035191137
1.6833333333333333,0.0010003440694441492,888:436,1000:355,513:506:485:297:779:257:807:466,125.87499135206404
1.7,0.0010003440694441492,887:436,998:356,513:509:483:302:776:259:807:466,125.78107386189257
1.7166666666666666,0.0010003440694441492,887:435,997:356,514:509:483:302:776:259:806:466,125.68522024571024
1.7333333333333334,0.0010003440694441492,887:434,998:354,513:507:483:299:776:256:806:464,125.78107386189257
1.75,0.0010003440694441492,887:434,998:354,513:507:483:299:776:257:806:464,125.78107386189257
1.7666666666666666,0.0010003440694441492,888:435,998:356,514:510:483:302:776:259:807:467,125.68522024571024
1.7833333333333334,0.0010003440694441492,887:434,998:355,513:507:483:298:776:257:806:465,125.4399035191137
