frame_i,time,m_per_pixel,g_center,r_center,rect_points,angle
1.0,0.01669449081803005,0.0030922437687898596,,,1701:952:1668:951:1672:838:1705:839,
2.0,0.0333889816360601,0.0030922437687898596,,,1701:952:1669:951:1673:838:1704:839,
3.0,0.05008347245409015,0.0030922437687898596,,,1671:952:1671:839:1702:839:1702:952,
4.0,0.0667779632721202,0.0030922437687898596,,,1701:952:1670:951:1674:838:1705:839,
5.0,0.08347245409015025,0.0030922437687898596,,,1701:952:1671:951:1675:838:1705:839,
6.0,0.1001669449081803,0.0030922437687898596,,,1701:952:1671:951:1675:838:1705:839,
7.0,0.11686143572621036,0.0030922437687898596,,,1701:952:1671:951:1675:838:1704:839,
8.0,0.1335559265442404,0.0030922437687898596,,,1700:952:1672:951:1677:838:1705:839,
9.0,0.15025041736227046,0.0030922437687898596,,,1700:952:1672:951:1677:838:1705:839,
10.0,0.1669449081803005,0.0030922437687898596,,,1674:952:1674:839:1702:839:1702:952,
11.0,0.18363939899833057,0.0030922437687898596,,,1674:951:1674:839:1702:839:1702:951,
12.0,0.2003338898163606,0.0030922437687898596,,,1701:952:1672:951:1676:838:1704:839,
13.0,0.21702838063439064,0.0030922437687898596,,,1701:951:1672:950:1675:838:1704:839,
14.0,0.2337228714524207,0.0030922437687898596,,,1700:952:1672:951:1676:838:1705:839,
15.0,0.25041736227045075,0.0030922437687898596,,,1673:952:1673:839:1702:839:1702:952,
16.0,0.2671118530884808,0.0030922437687898596,,,1701:952:1671:951:1675:838:1705:839,
17.0,0.2838063439065109,0.0030922437687898596,,,1700:952:1670:951:1676:838:1705:839,
18.0,0.3005008347245409,0.0030922437687898596,,,1701:952:1671:951:1675:838:1705:839,
19.0,0.31719532554257096,0.0030922437687898596,,,1701:952:1670:951:1674:838:1705:839,
20.0,0.333889816360601,0.0030922437687898596,,,1672:952:1672:839:1703:839:1703:952,
21.0,0.35058430717863104,0.0030922437687898596,,,1672:952:1672:839:1703:839:1703:952,
22.0,0.36727879799666113,0.0030922437687898596,,,1701:952:1669:951:1672:838:1704:839,
23.0,0.38397328881469117,0.0030922437687898596,,,1701:952:1669:951:1672:838:1704:839,
24.0,0.4006677796327212,0.0030922437687898596,,,1671:952:1671:839:1703:839:1703:952,
25.0,0.41736227045075125,0.0030922437687898596,,,1671:952:1671:839:1703:839:1703:952,
26.0,0.4340567612687813,0.0030856722212501474,,,1701:952:1668:951:1671:838:1704:839,
27.0,0.4507512520868114,0.0030856722212501474,,,1701:952:1668:951:1671:838:1704:839,
28.0,0.4674457429048414,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
29.0,0.48414023372287146,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
30.0,0.5008347245409015,0.0030856722212501474,,,1670:952:1670:839:1702:839:1702:952,
31.0,0.5175292153589316,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
32.0,0.5342237061769616,0.0030856722212501474,,,1701:952:1668:951:1672:838:1704:839,
33.0,0.5509181969949917,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
34.0,0.5676126878130218,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
35.0,0.5843071786310517,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
36.0,0.6010016694490818,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
37.0,0.6176961602671118,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
38.0,0.6343906510851419,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
39.0,0.651085141903172,0.0030856722212501474,,,1670:951:1670:839:1703:839:1703:951,
40.0,0.667779632721202,0.0030856722212501474,,,1670:952:1670:839:1703:839:1703:952,
41.0,0.6844741235392321,0.0030856722212501474,,,1670:952:1670:839:1702:839:1702:952,
42.0,0.7011686143572621,0.0030856722212501474,,,1670:952:1670:839:1702:839:1702:952,
43.0,0.7178631051752922,0.0030856722212501474,,,1701:952:1668:951:1672:838:1704:839,
44.0,0.7345575959933223,0.0030856722212501474,,,1701:952:1669:951:1672:838:1704:839,
45.0,0.7512520868113522,0.0030856722212501474,,,1671:952:1671:839:1702:839:1702:952,
46.0,0.7679465776293823,0.0030856722212501474,,,1701:952:1669:951:1672:838:1704:839,
47.0,0.7846410684474123,0.0030856722212501474,,,1671:952:1671:839:1702:839:1702:952,
48.0,0.8013355592654424,0.0030856722212501474,,,1672:952:1672:839:1703:839:1703:952,
49.0,0.8180300500834725,0.0030856722212501474,,,1701:952:1670:951:1673:838:1704:839,
50.0,0.8347245409015025,0.0030732021324656176,,,1701:953:1670:952:1673:838:1704:839,
51.0,0.8514190317195326,0.0030732021324656176,,,1701:953:1670:952:1673:838:1704:839,
52.0,0.8681135225375626,0.0030732021324656176,,,1701:953:1671:952:1674:838:1704:839,
53.0,0.8848080133555927,0.0030732021324656176,,,1701:953:1671:952:1674:838:1704:839,
54.0,0.9015025041736228,0.0030732021324656176,,,1701:953:1671:952:1674:838:1704:839,
55.0,0.9181969949916527,0.0030732021324656176,,,1674:953:1674:839:1703:839:1703:953,
56.0,0.9348914858096828,0.0030597988645372945,,,1701:954:1672:953:1675:838:1704:839,
57.0,0.9515859766277128,0.0030597988645372945,,,1701:954:1672:953:1675:838:1704:839,
58.0,0.9682804674457429,0.0030103588281088023,,,1701:955:1672:954:1675:837:1704:838,
59.0,0.984974958263773,0.0010001322923818604,1106:297,,1024:427:714:422:717:232:1027:237,
60.0,1.001669449081803,0.0009593301840218757,1106:297,,717:428:715:210:1025:205:1028:424,
61.0,1.018363939899833,0.0009571091706762501,1107:297,,717:428:715:209:1026:206:1027:426,
62.0,1.0350584307178632,0.0009571091706762501,1106:298,,717:428:715:209:1025:206:1026:426,
63.0,1.0517529215358932,0.0009571091706762501,1106:298,,717:428:717:208:1025:208:1025:428,
64.0,1.0684474123539232,0.0009571091706762501,1105:299,,716:429:715:210:1024:207:1026:427,
65.0,1.0851419031719534,0.0009571091706762501,1104:302,,717:429:717:209:1025:209:1025:429,
66.0,1.1018363939899833,0.0009571091706762501,1106:300,,717:429:717:209:1025:209:1025:429,
67.0,1.1185308848080133,0.0009571091706762501,1107:299,,717:431:715:211:1023:207:1025:427,
68.0,1.1352253756260435,0.0009571091706762501,1107:298,,717:430:715:211:1023:208:1024:428,
69.0,1.1519198664440735,0.0009571091706762501,1108:296,,717:429:717:209:1023:209:1023:429,
70.0,1.1686143572621035,0.0009571091706762501,1107:298,,717:431:715:212:1022:208:1024:428,
71.0,1.1853088480801335,0.0009571091706762501,1108:296,,717:429:717:210:1023:210:1023:429,
72.0,1.2020033388981637,0.0009571091706762501,1108:297,,717:429:717:210:1022:210:1022:429,
73.0,1.2186978297161937,0.0009571091706762501,1109:296,,716:429:716:210:1021:210:1021:429,
74.0,1.2353923205342237,0.0009571091706762501,1107:297,,716:429:716:211:1021:211:1021:429,
75.0,1.2520868113522539,0.0009571091706762501,1107:298,,717:429:717:211:1022:211:1022:429,
76.0,1.2687813021702838,0.0009571091706762501,1107:297,,717:429:717:211:1022:211:1022:429,
77.0,1.2854757929883138,0.0009571091706762501,1107:297,,717:429:717:211:1022:211:1022:429,
78.0,1.302170283806344,0.0009571091706762501,1106:298,,717:428:717:211:1022:211:1022:428,
79.0,1.318864774624374,0.0009571091706762501,1105:299,,717:428:717:211:1022:211:1022:428,
80.0,1.335559265442404,0.0009571091706762501,1105:299,,717:428:717:211:1022:211:1022:428,
81.0,1.352253756260434,0.0009571091706762501,1105:298,,717:429:715:212:1021:209:1023:427,
82.0,1.3689482470784642,0.0009571091706762501,1105:298,,717:429:717:210:1022:210:1022:429,
83.0,1.3856427378964942,0.0009571091706762501,1105:298,,717:428:717:210:1022:210:1022:428,
84.0,1.4023372287145242,0.0009571091706762501,1105:298,,717:428:717:210:1022:210:1022:428,
85.0,1.4190317195325544,0.0009571091706762501,1105:299,,716:429:715:212:1021:209:1023:427,
86.0,1.4357262103505843,0.0009571091706762501,1105:298,,717:429:715:212:1021:209:1023:427,
87.0,1.4524207011686143,0.0009571091706762501,1106:298,,717:429:715:212:1021:209:1023:427,
88.0,1.4691151919866445,0.0009571091706762501,1106:298,,717:429:715:212:1022:209:1023:427,
89.0,1.4858096828046745,0.0009571091706762501,1106:298,,717:429:715:212:1022:209:1024:427,
90.0,1.5025041736227045,0.0009571091706762501,1106:298,,717:429:715:212:1022:209:1024:427,
91.0,1.5191986644407347,0.0009571091706762501,1106:298,,717:430:714:213:1022:208:1024:426,
92.0,1.5358931552587647,0.0009571091706762501,1106:298,,718:431:714:213:1021:207:1025:426,
93.0,1.5525876460767947,0.0009571091706762501,1107:298,,717:430:714:213:1022:208:1024:426,
94.0,1.5692821368948247,0.0009571091706762501,1107:298,,717:430:714:213:1022:208:1024:426,
95.0,1.5859766277128549,0.0009571091706762501,1107:298,,718:431:714:213:1021:207:1025:426,
96.0,1.6026711185308848,0.0009571091706762501,1107:298,,718:431:714:213:1021:207:1025:426,
97.0,1.6193656093489148,0.0009571091706762501,1107:298,,718:431:714:213:1021:207:1025:426,
98.0,1.636060100166945,0.0009571091706762501,1108:298,,718:431:714:213:1021:207:1025:426,
99.0,1.652754590984975,0.0009571091706762501,1108:298,,718:431:714:213:1022:207:1025:426,
100.0,1.669449081803005,0.0009571091706762501,1107:298,,718:431:714:213:1022:207:1025:426,
101.0,1.6861435726210352,0.0009571091706762501,1107:299,,718:431:714:213:1022:207:1026:426,
102.0,1.7028380634390652,0.0009571091706762501,1107:299,,718:431:714:213:1023:207:1026:426,
103.0,1.7195325542570952,0.0009571091706762501,1107:299,,717:430:714:213:1022:208:1025:426,
104.0,1.7362270450751252,0.0009571091706762501,1108:298,,717:430:714:213:1023:208:1026:426,
105.0,1.7529215358931554,0.0009571091706762501,1108:298,,718:431:714:213:1023:207:1026:426,
106.0,1.7696160267111853,0.0009571091706762501,1107:299,,717:430:714:213:1023:208:1026:426,
107.0,1.7863105175292153,0.0009571091706762501,1108:298,,717:430:714:213:1022:208:1025:426,
108.0,1.8030050083472455,0.0009571091706762501,1107:299,,717:430:714:213:1022:208:1025:426,
109.0,1.8196994991652755,0.0009571091706762501,1107:299,,718:431:714:213:1022:207:1025:426,
110.0,1.8363939899833055,0.0009571091706762501,1107:298,,717:428:717:209:1022:209:1022:428,
111.0,1.8530884808013357,0.0009571091706762501,1107:298,,717:428:717:209:1022:209:1022:428,
112.0,1.8697829716193657,0.0009571091706762501,1107:298,,717:430:714:213:1021:208:1024:426,
113.0,1.8864774624373957,0.0009571091706762501,1107:299,,716:428:716:209:1021:209:1021:428,
114.0,1.9031719532554257,0.0009571091706762501,1107:298,,718:431:714:213:1021:207:1025:426,
115.0,1.9198664440734559,0.0009571091706762501,1107:298,,717:428:717:208:1022:208:1022:428,
116.0,1.9365609348914858,0.0009571091706762501,1107:298,,716:428:716:209:1021:209:1021:428,
117.0,1.9532554257095158,0.0009571091706762501,1107:298,,717:428:717:208:1022:208:1022:428,
118.0,1.969949916527546,0.0009571091706762501,1107:298,,717:428:717:209:1022:209:1022:428,
119.0,1.986644407345576,0.0009571091706762501,1107:298,,716:428:716:209:1021:209:1021:428,
120.0,2.003338898163606,0.0009571091706762501,1107:298,,716:428:716:209:1021:209:1021:428,
121.0,2.020033388981636,0.0009571091706762501,1087:308,1063:269,717:431:714:213:1022:208:1025:426,-2.5899376710612465
122.0,2.036727879799666,0.0009571091706762501,1087:308,1063:269,717:431:714:213:1022:208:1025:426,-2.5899376710612465
123.0,2.0534223706176964,0.0009571091706762501,1106:298,1063:269,716:428:716:209:1021:209:1021:428,-2.164146472951615
124.0,2.0701168614357264,0.0009571091706762501,1107:298,1063:269,717:428:717:209:1022:209:1022:428,-2.1535358210448687
125.0,2.0868113522537564,0.0009571091706762501,1106:298,1062:269,717:428:717:209:1022:209:1022:428,-2.1535358210448687
126.0,2.1035058430717863,0.0009571091706762501,1107:298,1062:269,717:431:714:213:1022:208:1025:426,-2.143256140612948
127.0,2.1202003338898163,0.0009571091706762501,1106:298,1062:269,717:428:717:209:1022:209:1022:428,-2.1535358210448687
128.0,2.1368948247078463,0.0009571091706762501,1107:298,1062:269,717:428:717:209:1022:209:1022:428,-2.143256140612948
129.0,2.1535893155258763,0.0009571091706762501,1106:298,1062:269,717:428:717:209:1023:209:1023:428,-2.1535358210448687
130.0,2.1702838063439067,0.0009571091706762501,1106:299,1062:270,717:428:717:209:1023:209:1023:428,-2.1535358210448687
131.0,2.1869782971619367,0.0009571091706762501,1107:299,1062:269,717:428:717:209:1023:209:1023:428,-2.158798930342464
132.0,2.2036727879799667,0.0009571091706762501,1107:299,1062:269,717:431:714:214:1021:208:1025:426,-2.158798930342464
133.0,2.2203672787979967,0.0009571091706762501,1107:298,1062:269,717:431:714:213:1021:208:1025:426,-2.143256140612948
134.0,2.2370617696160267,0.0009571091706762501,1107:298,1063:269,717:428:717:208:1022:208:1022:428,-2.1535358210448687
135.0,2.2537562604340566,0.0009571091706762501,1107:298,1063:269,717:428:717:208:1022:208:1022:428,-2.1535358210448687
136.0,2.270450751252087,0.0009571091706762501,1107:299,1063:269,718:432:714:213:1021:207:1025:427,-2.169215220273434
137.0,2.287145242070117,0.0009571091706762501,1107:299,1064:269,718:432:714:214:1021:208:1025:427,-2.1799597924556693
138.0,2.303839732888147,0.0009571091706762501,1107:299,1064:268,718:432:714:214:1021:208:1025:427,-2.1954317495665103
139.0,2.320534223706177,0.0009571091706762501,1107:299,1065:266,718:432:714:213:1021:208:1025:427,-2.2367655641740063
140.0,2.337228714524207,0.0009571091706762501,1107:299,1065:265,717:429:717:209:1022:209:1022:429,-2.251317551462111
141.0,2.353923205342237,0.0009571091706762501,1108:300,1066:263,718:432:714:213:1021:207:1025:427,-2.2929876582948845
142.0,2.370617696160267,0.0009571091706762501,1108:300,1067:262,718:432:714:214:1022:208:1025:427,-2.3182380450040307
143.0,2.3873121869782974,0.0009571091706762501,1108:300,1068:260,718:432:714:214:1022:208:1025:427,-2.356194490192345
144.0,2.4040066777963274,0.0009571091706762501,1109:300,1070:258,717:429:717:209:1023:209:1023:429,-2.393214606066275
145.0,2.4207011686143574,0.0009571091706762501,1108:301,1071:256,717:429:717:208:1023:208:1023:429,-2.453447688443911
146.0,2.4373956594323873,0.0009571091706762501,1109:301,1072:254,717:429:717:209:1023:209:1023:429,-2.4746844493504825
147.0,2.4540901502504173,0.0009571091706762501,1109:301,1073:251,717:429:717:209:1022:209:1022:429,-2.5175696006130366
148.0,2.4707846410684473,0.0009571091706762501,1109:301,1075:249,717:429:717:209:1022:209:1022:429,-2.5625183842220625
149.0,2.4874791318864777,0.0009571091706762501,1090:310,1076:246,716:429:716:209:1021:209:1021:429,-2.926234953892055
150.0,2.5041736227045077,0.0009571091706762501,1090:311,1077:242,717:429:717:209:1022:209:1022:429,-2.9553698131786517
151.0,2.5208681135225377,0.0009571091706762501,1090:311,1079:238,717:429:717:209:1022:209:1022:429,-2.99203291371609
152.0,2.5375626043405677,0.0009571091706762501,1091:311,1081:233,717:430:717:209:1022:209:1022:430,-3.0140830953745548
153.0,2.5542570951585977,0.0009571091706762501,1091:312,1082:229,717:430:717:209:1022:209:1022:430,-3.033580928889747
154.0,2.5709515859766277,0.0009571091706762501,1092:312,1083:223,717:430:717:208:1022:208:1022:430,-3.0408116545051254
155.0,2.5876460767946576,0.0009571091706762501,1092:313,1083:216,717:429:717:209:1022:209:1022:429,-3.049074032470146
156.0,2.604340567612688,0.0009571091706762501,1093:313,1083:209,717:429:717:208:1022:208:1022:429,-3.04573350647978
157.0,2.621035058430718,0.0009571091706762501,1093:313,1084:201,717:430:717:208:1022:208:1022:430,-3.061407806288477
158.0,2.637729549248748,0.0009571091706762501,1094:314,1085:193,717:430:717:210:1020:210:1020:430,-3.067349201938212
159.0,2.654424040066778,0.0009571091706762501,1095:314,1087:185,717:431:715:213:1018:210:1020:429,-3.079656469038989
160.0,2.671118530884808,0.0009571091706762501,1095:315,1088:176,717:431:715:213:1018:210:1020:429,-3.091275449128315
161.0,2.687813021702838,0.0009571091706762501,1096:315,1090:167,717:431:715:213:1018:210:1020:429,-3.101074301111446
162.0,2.704507512520868,0.0009571091706762501,1096:316,1091:159,717:431:715:213:1018:210:1020:429,-3.109756280162679
163.0,2.7212020033388984,0.0009571091706762501,1096:316,1093:151,717:431:715:213:1018:210:1020:429,-3.123412838516815
